Name,Price,Producturl,ImageUrl,MPN,Model,Processor,DisplaySize,RAM,Storage,GraphicsModel
"Lenovo IdeaPad 1 14AMN7 AMD Ryzen 5 14"" FHD Laptop with DDR5 RAM","60,500৳",https://www.startech.com.bd/lenovo-ideapad-1-14amn7-amd-ryzen-5-fhd-laptop,https://www.startech.com.bd/image/cache/catalog/laptop/lenovo/ideapad-1-15ada7/ideapad-1-15ada7-04-228x228.webp,82VF004DIN,IdeaPad 1 14AMN7,Ryzen 5 7520U,"14""",8GB (On Board)DDR51,NVMe PCIe SSD,AMD Radeon 610M
"Lenovo IdeaPad 1 14AMN7 AMD Ryzen 5 14"" FHD Sand Laptop","60,500৳",https://www.startech.com.bd/lenovo-ideapad-1-14amn7-amd-ryzen-5-sand-laptop,https://www.startech.com.bd/image/cache/catalog/laptop/lenovo/ideapad-1-15amn7-sand/ideapad-1-15amn7-sand-01-228x228.webp,82VF008YIN,IdeaPad 1 14AMN7,Ryzen 5 7520U,"14""",8GB (On Board)DDR51,NVMe PCIe SSD,AMD Radeon 610M
"Lenovo IdeaPad Flex 5 14ALC7 AMD Ryzen 7 5700U 14"" Touchscreen Laptop","105,000৳",https://www.startech.com.bd/lenovo-ideapad-flex-5-14alc7-amd-ryzen-7-laptop,https://www.startech.com.bd/image/cache/catalog/laptop/lenovo/ideapad-flex-5-14alc7/ideapad-flex-5-14alc7-08-228x228.webp,82R900DYIN," IdeaPad Flex 5 14ALC7",AMD Ryzen 7 5700U,14 Inch,16GBLPDDR4x,SSD,Integrated AMD Radeon
"Lenovo IdeaPad 1 15AMN7 AMD Ryzen 5 15.6"" FHD Laptop with DDR5 RAM","61,500৳",https://www.startech.com.bd/lenovo-ideapad-1-15amn7-amd-ryzen-5-fhd-laptop,https://www.startech.com.bd/image/cache/catalog/laptop/lenovo/ideapad-1-15ada7/ideapad-1-15ada7-04-228x228.webp,82VG008YIN,IdeaPad 1 15AMN7,Ryzen 5 7520U,"15.6""",8GB (On Board)DDR51,NVMe PCIe SSD,AMD Radeon 610M
"Lenovo IdeaPad 1 14AMN7 AMD Ryzen 5 512GB SSD 14"" FHD Laptop (Sand Color)","63,000৳",https://www.startech.com.bd/lenovo-ideapad-1-14amn7-ryzen-5-512gb-ssd-sand-laptop,https://www.startech.com.bd/image/cache/catalog/laptop/lenovo/ideapad-1-15amn7-sand/ideapad-1-15amn7-sand-01-228x228.webp,82VF008YIN,IdeaPad 1 14AMN7,Ryzen 5 7520U,"14""",8GB (On Board)DDR51,NVMe PCIe SSD,AMD Radeon 610M
"Lenovo IdeaPad Slim 5 14ABR8 Ryzen 5 7530U 14"" WUXGA Laptop","99,500৳",https://www.startech.com.bd/lenovo-ideapad-slim-5-14abr8-ryzen-5-7530u-laptop,https://www.startech.com.bd/image/cache/catalog/laptop/lenovo/ideapad-slim-5-14abr8/ideapad-slim-5-14abr8-07-228x228.webp,82XE007FLK,IdeaPad Slim 5 14ABR8,Ryzen 5 7530U,14-Inch,16GBDDR4116GB,M.2 2242 PCIe 4.0x4 NVMe SSD,AMD Radeon Graphics
"Lenovo IdeaPad 1 15AMN7 Ryzen 5 7520U 512GB SSD 15.6"" FHD Laptop (Sand Color)","63,500৳",https://www.startech.com.bd/lenovo-ideapad-1-15amn7-ryzen-5-7520u-laptop,https://www.startech.com.bd/image/cache/catalog/laptop/lenovo/ideapad-1-15amn7-sand/ideapad-1-15amn7-sand-01-228x228.webp,82VG00LKIN," IdeaPad 1 15AMN7",Ryzen 5 7520U,"15.6""",8GB (On Board)DDR51,NVMe PCIe SSD,AMD Radeon 610M
"MSI Cyborg 15 A12UDX Core i7 12th Gen RTX 3050 6GB Graphics 15.6"" FHD Gaming Laptop","145,000৳",https://www.startech.com.bd/msi-cyborg-15-a12udx-core-i7-gaming-laptop,https://www.startech.com.bd/image/cache/catalog/laptop/msi/cyborg-15-a12ve/cyborg-15-a12ve-01-228x228.webp,9S7-15K111-616-STL,Cyborg 15 A12UDX,Core i7-12650H,15.6 Inch,8GBDDR52Up to 64GB,NVMe PCIe Gen3x4 SSD,RTX 3050
Apple MacBook Pro 14 inch M3 Chip Liquid Retina Display 8GB RAM 512GB SSD Silver #MR7J3,"228,000৳",https://www.startech.com.bd/apple-macbook-pro-14-inch-m3-silver,https://www.startech.com.bd/image/cache/catalog/laptop/apple/macbook-pro-14-inch-silver/macbook-pro-14-inch-silver-01-228x228.webp,MR7J3,MacBook Pro M3,M3 chip,14.2-inch,8GBUnified memoryConfigurable to: 16GB or 24GB,SSD,Apple 10-core GPU
"Lenovo IdeaPad 1 15AMN7 Ryzen 5 7520U 15.6"" FHD Laptop ","61,500৳","https://www.startech.com.bd/lenovo-ideapad-1-15amn7-ryzen-5-7520u-fhd-laptop ",https://www.startech.com.bd/image/cache/catalog/laptop/lenovo/ideapad-1-15amn7-sand/ideapad-1-15amn7-sand-01-228x228.webp,82VG00LKIN," IdeaPad 1 15AMN7",Ryzen 5 7520U,"15.6""",8GB (On Board)DDR51,NVMe PCIe SSD,AMD Radeon 610M
"Lenovo IdeaPad Light 5 14ABR8 Ryzen 7 7730U 14"" FHD Laptop","111,500৳",https://www.startech.com.bd/lenovo-ideapad-light-5-14abr8-ryzen-7-7730u-laptop,https://www.startech.com.bd/image/cache/catalog/laptop/lenovo/ideapad-slim-5-14abr8/ideapad-slim-5-14abr8-07-228x228.webp,82XS0033LK,IdeaPad Light 5 14ABR8,Ryzen 7 7730U,14-Inch,16GBDDR4116GB,M.2 2242 PCIe 4.0x4 NVMe SSD,AMD Radeon Graphics
"Lenovo IdeaPad Light 5 14ABR8 Ryzen 5 7530U 14"" FHD Laptop","108,000৳",https://www.startech.com.bd/lenovo-ideapad-light-5-14abr8-ryzen-5-7530u-laptop,https://www.startech.com.bd/image/cache/catalog/laptop/lenovo/ideapad-slim-5-14abr8/ideapad-slim-5-14abr8-07-228x228.webp,82XS0032LK,IdeaPad Light 5 14ABR8,Ryzen 7 7530U,14-Inch,16GBDDR4116GB,M.2 2242 PCIe 4.0x4 NVMe SSD,AMD Radeon Graphics
"Lenovo IdeaPad 1 15AMN7 AMD Ryzen 5 512GB SSD 15.6"" FHD Laptop with DDR5 RAM","63,500৳",https://www.startech.com.bd/lenovo-ideapad-1-15amn7-amd-ryzen-5-laptop,https://www.startech.com.bd/image/cache/catalog/laptop/lenovo/ideapad-1-15ada7/ideapad-1-15ada7-04-228x228.webp,,IdeaPad 1 15AMN7,Ryzen 5 7520U,"15.6""",8GB (On Board)DDR51,NVMe PCIe SSD,AMD Radeon 610M
"MSI Modern 14 C12M Core i3 12th Gen 14"" FHD Laptop","59,999৳",https://www.startech.com.bd/msi-modern-14-c12m-core-i3-12th-gen-laptop,https://www.startech.com.bd/image/cache/catalog/laptop/msi/modern-14-c12m/modern-14-c12m-01-228x228.webp,9S7-14J112-871-STL,Modern 14 C12M,Core i3-1215U,14 Inch,8GB  onboardDDR4 8GB,NVMe PCIe Gen3x4 SSD,Intel UHD Graphics
"Lenovo IdeaPad 1 14AMN7 AMD Ryzen 5 512GB SSD 14"" FHD Laptop with DDR5 RAM","63,000৳",https://www.startech.com.bd/lenovo-ideapad-1-14amn7-amd-ryzen-5-laptop,https://www.startech.com.bd/image/cache/catalog/laptop/lenovo/ideapad-1-15ada7/ideapad-1-15ada7-04-228x228.webp,,IdeaPad 1 14AMN7,Ryzen 5 7520U,"14""",8GB (On Board)DDR51,NVMe PCIe SSD,AMD Radeon 610M
"Lenovo IdeaPad Flex 5 14ABR8 Ryzen 7 7730U 14"" Touchscreen Laptop ","115,000৳","https://www.startech.com.bd/lenovo-ideapad-flex-5-14abr8-ryzen-7-touchscreen-laptop ",https://www.startech.com.bd/image/cache/catalog/laptop/lenovo/ideapad-flex-5-14abr8/ideapad-flex-5-14abr8-01-228x228.webp,82XX00ADLK,IdeaPad Flex 5 14ABR8,Ryzen 7 7730U,14 Inch,16GBLPDDR4x16GB,SSD,Integrated AMD Radeon
"Lenovo IdeaPad Gaming 3 15ARH7 Ryzen 5 7535HS RTX 4050 6GB Graphics 15.6"" FHD Laptop","124,000৳",https://www.startech.com.bd/lenovo-ideapad-gaming-3-15arh7-ryzen-5-7535hs-fhd-laptop,https://www.startech.com.bd/image/cache/catalog/laptop/lenovo/ideapad-gaming-3/ideapad-gaming-3-01-228x228.webp,82SB00PLIN,IdeaPad Gaming 3 15ARH7,Ryzen 5 7535HS,15.6 Inch,8GB DDR52,M.2 PCIe NVMe PCIe 3.0 x4 SSD,NVIDIA GeForce RTX 4050
"MSI GF63 THIN 12UC Core i5 12th Gen RTX 3050 4GB Graphics 15.6"" FHD 144hz Gaming Laptop","96,500৳",https://www.startech.com.bd/msi-gf63-thin-12uc-core-i5-12th-gen-gaming-laptop,https://www.startech.com.bd/image/cache/catalog/laptop/msi/gf63-thin/gf63-thin-01-228x228.webp,9S7-16R821-1005-STL,GF63 THIN 12UC,"Core i5-12450H
","15.6""",8GBDDR4264GB,NVMe,NVIDIA GeForce RTX 3050
"Acer Extensa 14 EX214-53-543W Core i5 12th Gen 14"" FHD Laptop","79,999৳",https://www.startech.com.bd/acer-extensa-14-ex214-53-543w-core-i5-12th-gen-laptop,https://www.startech.com.bd/image/cache/catalog/laptop/acer/extensa-14-ex214-53-543w/extensa-14-ex214-53-543w-001-228x228.webp,NX.EGWSI.003,Extensa 14 EX214-53-543W,Core i5-1240P,"14 Inch ",8GBDDR4224GB,PCIe M.2 NVMe,Intel Iris Xe Graphics
"Lenovo IdeaPad D330 10IGL Celeron N4020 10.1"" HD Detachable 2-in-1 Touch Laptop","34,500৳",https://www.startech.com.bd/lenovo-ideapad-d330-cdc-n4020-laptop,https://www.startech.com.bd/image/cache/catalog/laptop/lenovo/d330/d330-2-228x228.jpg,82H0001VIN,IdeaPad D330 10IGL,Celeron N4020,10.1 Inch,4GBDDR4 14GB,eMMC 5.1 SSD,Intel UHD 600 Graphics